"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Ben Bradley","@BBradley_Mans","Conservative","Mansfield",34319,7
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",60121,9
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",23566,1
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",94285,-4
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",27161,-3
"Bambos Charalambous","@Bambos_MP","Labour","Enfield, Southgate",11320,-1
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",37200,5
"Anum Qaisar","@AnumSNP","Scottish National Party","Airdrie and Shotts",19226,25
"Antony Higginbotham","@antony_hig","Conservative","Burnley",4077,-2
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",9132,-1
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",5363,1
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",74084,26
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",30903,-8
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",13892,1
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",21964,-1
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",18004,4
"Anna Firth","@Anna_Firth","Conservative","Southend West",10742,0
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",43932,-2
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",13730,-1
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",437159,361
"Angela Eagle ","@angelaeagle","Labour","Wallasey",80586,10
"Angela Crawley ","@AngelaCrawley30","Scottish National Party","Lanark and Hamilton East",13894,-2
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",25889,-1
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",50024,-5
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",5974,0
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",25156,3
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",21649,-2
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",22851,-5
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",5054,0
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15932,-2
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",51805,9
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",6384,0
"Andrew Bridgen ","@ABridgen","Conservative","North West Leicestershire",42292,12
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",21279,12
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",124670,3
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",61462,-11
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",15390,-1
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",6099,5
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",23217,-1
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46087,0
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",14048,1
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",72406,10
"Allan Dorans","@allandoransMP","Scottish National Party","Ayr, Carrick and Cumnock",775,0
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",24364,8
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",30984,-2
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",56208,-2
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",18862,-4
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",7141,-2
"Alex Sobel","@alexsobel","Labour","Leeds North West",25812,6
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",8364,0
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",9428,1
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",22601,7
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",14229,2
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",6271,4
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",16188,2
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10859,3
"Alan Mak ","@AlanMakMP","Conservative","Havant",10524,0
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",7184,4
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12813,4
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",33211,8
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",17480,-4
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",18278,12
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",6600,6
